frequency_rank,channel,anomalous_subrun_count,anomalous_fraction,ALERT_subrun_anomalous_count,ALERT_subrun_presence_fraction,longest_consecutive_anomalous_streak,maximum_max_z,median_max_z_when_anomalous,median_if_score_when_anomalous
29,17,6,0.016260162601626018,1,0.0196078431372549,1,16.56,8.48,-0.6461
30,18,6,0.016260162601626018,2,0.0392156862745098,1,10.56,10.56,-0.5445
31,26,6,0.016260162601626018,5,0.09803921568627451,2,16.07,16.07,-0.5327
32,65,6,0.016260162601626018,1,0.0196078431372549,1,13.09,13.09,-0.54435
33,16,5,0.013550135501355014,0,0.0,1,13.79,12.39,-0.6058
34,8,4,0.01084010840108401,1,0.0196078431372549,2,5.87,4.635,-0.6412
35,27,4,0.01084010840108401,3,0.058823529411764705,1,55.0,32.035,-0.5456
36,79,4,0.01084010840108401,0,0.0,1,10.96,10.96,-0.50755
37,91,4,0.01084010840108401,1,0.0196078431372549,1,10.98,10.98,-0.52245
38,19,3,0.008130081300813009,2,0.0392156862745098,1,11.31,8.58,-0.5996
39,33,3,0.008130081300813009,0,0.0,1,10.98,7.42,-0.6412
40,29,2,0.005420054200542005,2,0.0392156862745098,1,25.75,19.305,-0.5274000000000001
41,66,2,0.005420054200542005,1,0.0196078431372549,1,21.11,16.509999999999998,-0.56115
42,75,2,0.005420054200542005,0,0.0,1,14.73,14.73,-0.57395
43,77,2,0.005420054200542005,0,0.0,1,8.86,8.754999999999999,-0.5737
44,90,2,0.005420054200542005,0,0.0,1,14.61,14.61,-0.56985
45,30,1,0.0027100271002710027,0,0.0,1,13.44,13.44,-0.5256
46,31,1,0.0027100271002710027,0,0.0,1,8.57,8.57,-0.5123
47,35,1,0.0027100271002710027,1,0.0196078431372549,1,82.5,82.5,-0.5699
48,38,1,0.0027100271002710027,1,0.0196078431372549,1,10.32,10.32,-0.599
49,39,1,0.0027100271002710027,1,0.0196078431372549,1,8.68,8.68,-0.5724
50,41,1,0.0027100271002710027,0,0.0,1,8.39,8.39,-0.5472
51,47,1,0.0027100271002710027,1,0.0196078431372549,1,500000.0,500000.0,-0.5718
52,55,1,0.0027100271002710027,1,0.0196078431372549,1,47.63,47.63,-0.577
53,56,1,0.0027100271002710027,0,0.0,1,4.19,4.19,-0.6441
54,64,1,0.0027100271002710027,0,0.0,1,14.56,14.56,-0.5063
55,67,1,0.0027100271002710027,0,0.0,1,12.26,12.26,-0.5277
56,74,1,0.0027100271002710027,0,0.0,1,8.58,8.58,-0.5015
57,76,1,0.0027100271002710027,0,0.0,1,13.13,13.13,-0.4909
58,83,1,0.0027100271002710027,1,0.0196078431372549,1,27.88,27.88,-0.5092
59,86,1,0.0027100271002710027,1,0.0196078431372549,1,5.65,5.65,-0.6693
60,88,1,0.0027100271002710027,0,0.0,1,11.87,11.87,-0.6682
61,89,1,0.0027100271002710027,0,0.0,1,11.77,11.77,-0.6069
62,24,0,0.0,0,0.0,0,,,
63,25,0,0.0,0,0.0,0,,,
64,28,0,0.0,0,0.0,0,,,
65,37,0,0.0,0,0.0,0,,,
66,42,0,0.0,0,0.0,0,,,
67,44,0,0.0,0,0.0,0,,,
68,46,0,0.0,0,0.0,0,,,
69,48,0,0.0,0,0.0,0,,,
70,49,0,0.0,0,0.0,0,,,
71,50,0,0.0,0,0.0,0,,,
72,51,0,0.0,0,0.0,0,,,
73,52,0,0.0,0,0.0,0,,,
74,53,0,0.0,0,0.0,0,,,
75,54,0,0.0,0,0.0,0,,,
76,57,0,0.0,0,0.0,0,,,
77,58,0,0.0,0,0.0,0,,,
78,59,0,0.0,0,0.0,0,,,
79,60,0,0.0,0,0.0,0,,,
80,61,0,0.0,0,0.0,0,,,
81,62,0,0.0,0,0.0,0,,,
82,63,0,0.0,0,0.0,0,,,
83,68,0,0.0,0,0.0,0,,,
84,69,0,0.0,0,0.0,0,,,
85,71,0,0.0,0,0.0,0,,,
86,72,0,0.0,0,0.0,0,,,
87,73,0,0.0,0,0.0,0,,,
88,78,0,0.0,0,0.0,0,,,
89,80,0,0.0,0,0.0,0,,,
90,81,0,0.0,0,0.0,0,,,
91,84,0,0.0,0,0.0,0,,,
92,85,0,0.0,0,0.0,0,,,
93,87,0,0.0,0,0.0,0,,,
94,92,0,0.0,0,0.0,0,,,
95,93,0,0.0,0,0.0,0,,,
96,95,0,0.0,0,0.0,0,,,
