channel,feature,count_2088,count_2089,normalized_rate_2088,normalized_rate_2089,rate_change_2089_minus_2088,rate_ratio_2089_over_2088,new_pair_in_2089
89,sideband_mean_mean,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
89,sideband_rms_mean,0,1,0.0,0.0027100271002710027,0.0027100271002710027,,True
14,nPulses_median,3,6,0.014778325123152709,0.016260162601626018,0.0014818374784733093,1.1002710027100273,False
1,pulseDuriation_min_mean,1,2,0.0049261083743842365,0.005420054200542005,0.0004939458261577689,1.100271002710027,False
1,pulseHeight_max_std,1,2,0.0049261083743842365,0.005420054200542005,0.0004939458261577689,1.100271002710027,False
9,<none; IF-only>,1,2,0.0049261083743842365,0.005420054200542005,0.0004939458261577689,1.100271002710027,False
10,nPulses_std,1,2,0.0049261083743842365,0.005420054200542005,0.0004939458261577689,1.100271002710027,False
16,sideband_mean_median,1,2,0.0049261083743842365,0.005420054200542005,0.0004939458261577689,1.100271002710027,False
29,nPulses_median,1,2,0.0049261083743842365,0.005420054200542005,0.0004939458261577689,1.100271002710027,False
75,nPulses_median,1,2,0.0049261083743842365,0.005420054200542005,0.0004939458261577689,1.100271002710027,False
0,<none; IF-only>,1,1,0.0049261083743842365,0.0027100271002710027,-0.002216081274113234,0.5501355013550135,False
1,sideband_mean_median,1,1,0.0049261083743842365,0.0027100271002710027,-0.002216081274113234,0.5501355013550135,False
2,pulseArea_min_median,1,1,0.0049261083743842365,0.0027100271002710027,-0.002216081274113234,0.5501355013550135,False
2,pulseHeight_min_median,1,1,0.0049261083743842365,0.0027100271002710027,-0.002216081274113234,0.5501355013550135,False
5,nPulses_std,1,1,0.0049261083743842365,0.0027100271002710027,-0.002216081274113234,0.5501355013550135,False
6,pulseHeight_min_median,1,1,0.0049261083743842365,0.0027100271002710027,-0.002216081274113234,0.5501355013550135,False
9,nPulses_std,1,1,0.0049261083743842365,0.0027100271002710027,-0.002216081274113234,0.5501355013550135,False
9,pulseArea_min_median,1,1,0.0049261083743842365,0.0027100271002710027,-0.002216081274113234,0.5501355013550135,False
11,pulseHeight_min_median,1,1,0.0049261083743842365,0.0027100271002710027,-0.002216081274113234,0.5501355013550135,False
13,pulseArea_min_mean,1,1,0.0049261083743842365,0.0027100271002710027,-0.002216081274113234,0.5501355013550135,False
16,<none; IF-only>,1,1,0.0049261083743842365,0.0027100271002710027,-0.002216081274113234,0.5501355013550135,False
21,<none; IF-only>,1,1,0.0049261083743842365,0.0027100271002710027,-0.002216081274113234,0.5501355013550135,False
21,nPulses_std,1,1,0.0049261083743842365,0.0027100271002710027,-0.002216081274113234,0.5501355013550135,False
30,nPulses_median,1,1,0.0049261083743842365,0.0027100271002710027,-0.002216081274113234,0.5501355013550135,False
32,sideband_rms_mean,1,1,0.0049261083743842365,0.0027100271002710027,-0.002216081274113234,0.5501355013550135,False
33,sideband_rms_mean,1,1,0.0049261083743842365,0.0027100271002710027,-0.002216081274113234,0.5501355013550135,False
56,<none; IF-only>,1,1,0.0049261083743842365,0.0027100271002710027,-0.002216081274113234,0.5501355013550135,False
2,nPulses_median,4,6,0.019704433497536946,0.016260162601626018,-0.003444270895910928,0.8252032520325204,False
10,nPulses_median,4,6,0.019704433497536946,0.016260162601626018,-0.003444270895910928,0.8252032520325204,False
79,nPulses_median,3,4,0.014778325123152709,0.01084010840108401,-0.003938216722068698,0.7335140018066848,False
7,nPulses_median,2,2,0.009852216748768473,0.005420054200542005,-0.004432162548226468,0.5501355013550135,False
12,<none; IF-only>,2,2,0.009852216748768473,0.005420054200542005,-0.004432162548226468,0.5501355013550135,False
1,pulseDuriation_max_mean,1,0,0.0049261083743842365,0.0,-0.0049261083743842365,0.0,False
1,pulseDuriation_max_std,1,0,0.0049261083743842365,0.0,-0.0049261083743842365,0.0,False
1,pulseDuriation_min_std,1,0,0.0049261083743842365,0.0,-0.0049261083743842365,0.0,False
6,pulseArea_min_median,1,0,0.0049261083743842365,0.0,-0.0049261083743842365,0.0,False
18,nPulses_std,1,0,0.0049261083743842365,0.0,-0.0049261083743842365,0.0,False
22,sideband_mean_mean,1,0,0.0049261083743842365,0.0,-0.0049261083743842365,0.0,False
23,<none; IF-only>,1,0,0.0049261083743842365,0.0,-0.0049261083743842365,0.0,False
23,sideband_mean_mean,1,0,0.0049261083743842365,0.0,-0.0049261083743842365,0.0,False
35,<none; IF-only>,1,0,0.0049261083743842365,0.0,-0.0049261083743842365,0.0,False
43,sideband_mean_mean,1,0,0.0049261083743842365,0.0,-0.0049261083743842365,0.0,False
46,nPulses_median,1,0,0.0049261083743842365,0.0,-0.0049261083743842365,0.0,False
57,pulseHeight_max_median,1,0,0.0049261083743842365,0.0,-0.0049261083743842365,0.0,False
69,nPulses_median,1,0,0.0049261083743842365,0.0,-0.0049261083743842365,0.0,False
74,<none; IF-only>,1,0,0.0049261083743842365,0.0,-0.0049261083743842365,0.0,False
75,nPulses_std,1,0,0.0049261083743842365,0.0,-0.0049261083743842365,0.0,False
91,pulseArea_max_median,1,0,0.0049261083743842365,0.0,-0.0049261083743842365,0.0,False
91,pulseHeight_max_median,1,0,0.0049261083743842365,0.0,-0.0049261083743842365,0.0,False
43,nPulses_median,3,3,0.014778325123152709,0.008130081300813009,-0.0066482438223397,0.5501355013550137,False
19,<none; IF-only>,2,1,0.009852216748768473,0.0027100271002710027,-0.00714218964849747,0.2750677506775068,False
66,nPulses_median,2,1,0.009852216748768473,0.0027100271002710027,-0.00714218964849747,0.2750677506775068,False
76,nPulses_median,2,1,0.009852216748768473,0.0027100271002710027,-0.00714218964849747,0.2750677506775068,False
70,nPulses_median,6,8,0.029556650246305417,0.02168021680216802,-0.007876433444137396,0.7335140018066848,False
11,nPulses_median,4,3,0.019704433497536946,0.008130081300813009,-0.011574352196723937,0.4126016260162602,False
22,nPulses_median,3,1,0.014778325123152709,0.0027100271002710027,-0.012068298022881705,0.1833785004516712,False
17,pulseArea_min_median,4,2,0.019704433497536946,0.005420054200542005,-0.01428437929699494,0.2750677506775068,False
17,pulseHeight_min_median,4,1,0.019704433497536946,0.0027100271002710027,-0.016994406397265942,0.1375338753387534,False
