frequency_rank,channel,anomalous_subrun_count,anomalous_fraction,ALERT_subrun_anomalous_count,ALERT_subrun_presence_fraction,longest_consecutive_anomalous_streak,maximum_max_z,median_max_z_when_anomalous,median_if_score_when_anomalous
35,13,1,0.0049261083743842365,0,0.0,1,8.23,8.23,-0.6298
36,18,1,0.0049261083743842365,0,0.0,1,8.1,8.1,-0.5136
37,29,1,0.0049261083743842365,1,0.043478260869565216,1,25.75,25.75,-0.5453
38,30,1,0.0049261083743842365,0,0.0,1,13.44,13.44,-0.5228
39,33,1,0.0049261083743842365,1,0.043478260869565216,1,9.05,9.05,-0.5542
40,34,1,0.0049261083743842365,1,0.043478260869565216,1,29.16,29.16,-0.5304
41,35,1,0.0049261083743842365,0,0.0,1,6.35,6.35,-0.661
42,36,1,0.0049261083743842365,1,0.043478260869565216,1,14.38,14.38,-0.5518
43,46,1,0.0049261083743842365,1,0.043478260869565216,1,28.28,28.28,-0.5873
44,56,1,0.0049261083743842365,0,0.0,1,4.3,4.3,-0.6437
45,57,1,0.0049261083743842365,0,0.0,1,9.43,9.43,-0.4749
46,69,1,0.0049261083743842365,1,0.043478260869565216,1,1000000.0,1000000.0,-0.5772
47,74,1,0.0049261083743842365,0,0.0,1,6.25,6.25,-0.6406
48,91,1,0.0049261083743842365,0,0.0,1,10.98,10.98,-0.56
49,4,0,0.0,0,0.0,0,,,
50,24,0,0.0,0,0.0,0,,,
51,25,0,0.0,0,0.0,0,,,
52,27,0,0.0,0,0.0,0,,,
53,28,0,0.0,0,0.0,0,,,
54,31,0,0.0,0,0.0,0,,,
55,37,0,0.0,0,0.0,0,,,
56,38,0,0.0,0,0.0,0,,,
57,39,0,0.0,0,0.0,0,,,
58,41,0,0.0,0,0.0,0,,,
59,42,0,0.0,0,0.0,0,,,
60,44,0,0.0,0,0.0,0,,,
61,47,0,0.0,0,0.0,0,,,
62,48,0,0.0,0,0.0,0,,,
63,49,0,0.0,0,0.0,0,,,
64,50,0,0.0,0,0.0,0,,,
65,51,0,0.0,0,0.0,0,,,
66,52,0,0.0,0,0.0,0,,,
67,53,0,0.0,0,0.0,0,,,
68,54,0,0.0,0,0.0,0,,,
69,55,0,0.0,0,0.0,0,,,
70,58,0,0.0,0,0.0,0,,,
71,59,0,0.0,0,0.0,0,,,
72,60,0,0.0,0,0.0,0,,,
73,61,0,0.0,0,0.0,0,,,
74,62,0,0.0,0,0.0,0,,,
75,63,0,0.0,0,0.0,0,,,
76,64,0,0.0,0,0.0,0,,,
77,67,0,0.0,0,0.0,0,,,
78,68,0,0.0,0,0.0,0,,,
79,71,0,0.0,0,0.0,0,,,
80,72,0,0.0,0,0.0,0,,,
81,73,0,0.0,0,0.0,0,,,
82,77,0,0.0,0,0.0,0,,,
83,78,0,0.0,0,0.0,0,,,
84,80,0,0.0,0,0.0,0,,,
85,81,0,0.0,0,0.0,0,,,
86,83,0,0.0,0,0.0,0,,,
87,84,0,0.0,0,0.0,0,,,
88,85,0,0.0,0,0.0,0,,,
89,86,0,0.0,0,0.0,0,,,
90,87,0,0.0,0,0.0,0,,,
91,88,0,0.0,0,0.0,0,,,
92,89,0,0.0,0,0.0,0,,,
93,90,0,0.0,0,0.0,0,,,
94,92,0,0.0,0,0.0,0,,,
95,93,0,0.0,0,0.0,0,,,
96,95,0,0.0,0,0.0,0,,,
