run,subrun,filename,strict_status,channel,is_target_channel,nPulses_mean,nPulses_std,nPulses_median,occupancy,frac_dead,reference_nPulses_median_mean,reference_nPulses_median_raw_std,reference_nPulses_median_std_used,z_nPulses_median,abs_z_over_8,abs_z_over_15
2089,270,Digitizer_run2089_subrun270.csv,ALERT,92,False,2.338235294117647,2.019385854014148,1.5,0.06834170854271357,0.0,1.3614333969745962,0.4700631646599074,0.4700631646599074,0.2947829428958921,False,False
2089,270,Digitizer_run2089_subrun270.csv,ALERT,93,False,2.9146666666666667,1.7483906529213704,3.0,0.3768844221105528,0.0,1.6060361286532518,0.7828986057734849,0.7828986057734849,1.7805164820411776,False,False
2089,270,Digitizer_run2089_subrun270.csv,ALERT,94,False,1.6875,0.895778630487862,1.0,0.032160804020100506,0.0,1.0101336466441453,0.09488363789933676,0.09488363789933676,-0.1068007811304221,False,False
2089,270,Digitizer_run2089_subrun270.csv,ALERT,95,False,1.4,0.6717752982077053,1.0,0.04020100502512563,0.0,1.0217359377294788,0.13990906201221617,0.13990906201221617,-0.15535761170052673,False,False
2088,321,Digitizer_run2088_subrun321.csv,ALERT,0,False,1.4137931034482758,0.6822882392210131,1.0,0.029263370332996974,0.0,1.0006609870740304,0.021839016680118065,0.021839016680118065,-0.030266338622844134,False,False
2088,321,Digitizer_run2088_subrun321.csv,ALERT,1,False,1.5151515151515151,0.7550336135403228,1.0,0.033299697275479316,0.0,1.0176263219741484,0.12588397270224438,0.12588397270224438,-0.14002038222800792,False,False
2088,321,Digitizer_run2088_subrun321.csv,ALERT,2,False,1.425531914893617,0.6834910657812401,1.0,0.04742684157416751,0.0,1.0102070788662025,0.09698086562649692,0.09698086562649692,-0.10524837863907224,False,False
2088,321,Digitizer_run2088_subrun321.csv,ALERT,3,False,2.2567567567567566,1.5620570456916152,2.0,0.07467204843592332,0.0,1.0831252753708318,0.27069941832777283,0.27069941832777283,3.3870583479384595,False,False
2088,321,Digitizer_run2088_subrun321.csv,ALERT,4,False,1.3695652173913044,0.6449356781769072,1.0,0.04641775983854692,0.0,1.0,0.0,1e-06,0.0,False,False
2088,321,Digitizer_run2088_subrun321.csv,ALERT,5,False,1.4489795918367347,0.614451804788759,1.0,0.04944500504540868,0.0,1.0013219741480621,0.034254058386733184,0.034254058386733184,-0.03859321231770104,False,False
2088,321,Digitizer_run2088_subrun321.csv,ALERT,6,False,1.5245901639344261,0.8084255763942071,1.0,0.0615539858728557,0.0,1.0257747099427235,0.15340007006459264,0.15340007006459264,-0.16802280423907515,False,False
2088,321,Digitizer_run2088_subrun321.csv,ALERT,7,False,1.3258426966292134,0.6174596214048113,1.0,0.08980827447023208,0.0,1.0005140255544118,0.021841364909573904,0.021841364909573904,-0.023534497799929447,False,False
2088,321,Digitizer_run2088_subrun321.csv,ALERT,8,False,1.5769230769230769,1.0164558543147553,1.0,0.05247225025227043,0.0,1.166201527614567,0.3627185858866455,0.3627185858866455,-0.4582106737329065,False,False
2088,321,Digitizer_run2088_subrun321.csv,ALERT,9,False,1.425,0.6751068291531577,1.0,0.04036326942482341,0.0,1.0126321974148078,0.10594382409297862,0.10594382409297862,-0.1192348635982926,False,False
2088,321,Digitizer_run2088_subrun321.csv,ALERT,10,False,1.6666666666666667,1.3522468075656264,1.0,0.03632694248234107,0.0,1.003525264394829,0.05926919018998115,0.05926919018998115,-0.059478868928849134,False,False
2088,321,Digitizer_run2088_subrun321.csv,ALERT,11,False,1.5434782608695652,0.8616914049093711,1.0,0.04641775983854692,0.0,1.010355464159813,0.0973502795860281,0.0973502795860281,-0.10637323491877426,False,False
2088,321,Digitizer_run2088_subrun321.csv,ALERT,12,False,1.45,0.7828285334736546,1.0,0.04036326942482341,0.0,1.0019092377735357,0.04280374239012398,0.04280374239012398,-0.04460445902450349,False,False
2088,321,Digitizer_run2088_subrun321.csv,ALERT,13,False,1.4285714285714286,0.6123724356957945,1.0,0.04944500504540868,0.0,1.0022032902467664,0.04529403649936461,0.04529403649936461,-0.048644157532686715,False,False
2088,321,Digitizer_run2088_subrun321.csv,ALERT,14,False,1.476923076923077,0.6400120191179106,1.0,0.06559031281533804,0.0,1.0033049353701542,0.05577100726890122,0.05577100726890122,-0.05925902242036567,False,False
2088,321,Digitizer_run2088_subrun321.csv,ALERT,15,False,1.4927536231884058,0.655815352550618,1.0,0.06962663975782038,0.0,1.0027908343125727,0.05062328053115834,0.05062328053115834,-0.055129463821589196,False,False
2088,321,Digitizer_run2088_subrun321.csv,ALERT,16,False,1.6222222222222222,0.9117637475317448,1.0,0.045408678102926335,0.0,1.1844888366627526,0.3772274272856251,0.3772274272856251,-0.48906527818048423,False,False
2088,321,Digitizer_run2088_subrun321.csv,ALERT,17,False,1.75,0.7424837043882184,2.0,0.04036326942482341,0.0,1.1612808460634536,0.35653493635752975,0.35653493635752975,2.352417865427603,False,False
2088,321,Digitizer_run2088_subrun321.csv,ALERT,18,False,1.5294117647058822,0.8611230904040922,1.0,0.034308779011099896,0.0,1.0098428088732194,0.09376048537847204,0.09376048537847204,-0.1049782201264008,False,False
2088,321,Digitizer_run2088_subrun321.csv,ALERT,19,False,1.5,0.8301741920760902,1.0,0.03834510595358224,0.0,1.0393712354928786,0.18755480424780255,0.18755480424780255,-0.20991856567353093,False,False
2088,321,Digitizer_run2088_subrun321.csv,ALERT,20,False,1.4545454545454546,0.7910706743643854,1.0,0.044399596367305755,0.0,1.0087397179788484,0.08842364341002924,0.08842364341002924,-0.09883915253662964,False,False
2088,321,Digitizer_run2088_subrun321.csv,ALERT,21,False,1.3863636363636365,0.6893174612381909,1.0,0.044399596367305755,0.0,1.0082990599294928,0.0859394608965333,0.0859394608965333,-0.09656867570398656,False,False
2088,321,Digitizer_run2088_subrun321.csv,ALERT,22,False,1.288888888888889,0.5486438744851718,1.0,0.045408678102926335,0.0,1.0004405933323521,0.020985690597874602,0.020985690597874602,-0.020994940828716762,False,False
2088,321,Digitizer_run2088_subrun321.csv,ALERT,23,False,1.38,0.7253429871306345,1.0,0.050454086781029264,0.0,1.0,0.0,1e-06,0.0,False,False
2088,321,Digitizer_run2088_subrun321.csv,ALERT,24,False,1.79375,1.0466891497004396,1.0,0.16145307769929365,0.0,1.1186104582843688,0.31649985541942677,0.31649985541942677,-0.37475675344996845,False,False
2088,321,Digitizer_run2088_subrun321.csv,ALERT,25,False,1.3654618473895583,0.717699539207621,1.0,0.2512613521695257,0.0,1.0,0.0,1e-06,0.0,False,False
2088,321,Digitizer_run2088_subrun321.csv,ALERT,26,False,1.3432835820895523,0.565477508219492,1.0,0.06760847628657922,0.0,1.0040387722132456,0.06195869573440901,0.06195869573440901,-0.065184913358378,False,False
2088,321,Digitizer_run2088_subrun321.csv,ALERT,27,False,1.3770491803278688,0.5820634108133325,1.0,0.0615539858728557,0.0,1.0003671611102933,0.018174437872593627,0.018174437872593627,-0.02020206142644995,False,False
2088,321,Digitizer_run2088_subrun321.csv,ALERT,28,False,1.8387096774193548,1.10621094950133,1.0,0.09384460141271443,0.0,1.0350271699221638,0.17765298904495008,0.17765298904495008,-0.19716622900896522,False,False
