segment_type,start_sequence_index,end_sequence_index,start_subrun,end_subrun,length,n_OK,n_WARN,n_ALERT
NON_OK,195,196,519,520,2,0,0,2
NON_OK,198,198,522,522,1,0,0,1
NON_OK,200,200,530,530,1,0,0,1
NON_OK,204,204,544,544,1,0,0,1
NON_OK,206,206,547,547,1,0,0,1
NON_OK,212,212,559,559,1,0,1,0
NON_OK,218,240,570,624,23,0,19,4
NON_OK,245,245,638,638,1,0,0,1
NON_OK,255,255,655,655,1,0,0,1
NON_OK,265,270,680,693,6,0,2,4
NON_OK,272,273,697,699,2,0,0,2
NON_OK,279,279,712,712,1,0,0,1
NON_OK,281,284,717,722,4,0,4,0
NON_OK,286,289,730,735,4,0,1,3
NON_OK,296,297,755,759,2,0,1,1
NON_OK,303,309,771,782,7,0,5,2
NON_OK,313,320,788,806,8,0,4,4
NON_OK,323,324,819,826,2,0,0,2
NON_OK,329,342,837,871,14,0,10,4
NON_OK,349,355,878,892,7,0,6,1
NON_OK,360,360,902,902,1,0,0,1
WARN,77,78,176,183,2,0,2,0
WARN,80,81,191,195,2,0,2,0
WARN,128,129,304,306,2,0,2,0
WARN,133,134,322,323,2,0,2,0
WARN,140,140,347,347,1,0,1,0
WARN,146,146,368,368,1,0,1,0
WARN,148,148,372,372,1,0,1,0
WARN,155,155,391,391,1,0,1,0
WARN,164,167,421,434,4,0,4,0
WARN,170,171,446,449,2,0,2,0
WARN,176,176,466,466,1,0,1,0
WARN,187,190,498,506,4,0,4,0
WARN,192,192,513,513,1,0,1,0
WARN,212,212,559,559,1,0,1,0
WARN,218,221,570,579,4,0,4,0
WARN,223,225,581,591,3,0,3,0
WARN,227,235,593,611,9,0,9,0
WARN,238,240,619,624,3,0,3,0
WARN,269,270,687,693,2,0,2,0
WARN,281,284,717,722,4,0,4,0
WARN,286,286,730,730,1,0,1,0
WARN,297,297,759,759,1,0,1,0
WARN,303,307,771,778,5,0,5,0
WARN,313,313,788,788,1,0,1,0
WARN,315,315,792,792,1,0,1,0
WARN,317,318,798,799,2,0,2,0
WARN,329,330,837,839,2,0,2,0
WARN,332,338,844,861,7,0,7,0
WARN,340,340,868,868,1,0,1,0
WARN,349,354,878,890,6,0,6,0
