channel,source_metric,comparison_filename,comparison_subrun,comparison_status,comparison_role,processed_sequence_offset_from_role_target,file_unique_events,target_channel_rows,target_channel_unique_events,occupancy,n_values,n_nan,n_inf,min,max,mean,std,median,q25,q75
3,pulseHeight_max,Digitizer_run2014_subrun88.csv,88,OK,OK_target_previous_2,-2,991,85,85,0.08577194752774975,85,0,0,-1130.14,-15.1319,-319.41428588235294,347.3664545027886,-118.986,-623.387,-47.2735
3,pulseHeight_max,Digitizer_run2014_subrun90.csv,90,OK,OK_target_previous_1,-1,994,68,68,0.06841046277665996,68,0,0,-1077.87,-16.2403,-407.17440000000005,352.83157291163684,-265.7885,-723.799,-82.861125
3,pulseHeight_max,Digitizer_run2014_subrun95.csv,95,OK,OK_target_next_1,1,996,68,68,0.06827309236947791,68,0,0,-1022.36,-15.3634,-286.55646911764705,298.3585260156212,-169.36950000000002,-542.0025,-39.582525
3,pulseHeight_max,Digitizer_run2014_subrun96.csv,96,OK,OK_target_next_2,2,988,81,81,0.08198380566801619,81,0,0,-1074.97,-15.1356,-393.241724691358,349.8698623189201,-255.161,-677.824,-63.8583
3,sideband_mean,Digitizer_run2014_subrun605.csv,605,WARN,WARN_target,0,994,72,72,0.07243460764587525,72,0,0,-141.618,22.7753,-5.315555423611111,17.90223071014005,-5.53512,-8.980297499999999,0.33089775
3,sideband_mean,Digitizer_run2014_subrun603.csv,603,WARN,WARN_target_previous_2,-2,998,55,55,0.05511022044088176,55,0,0,-140.563,7.83143,-8.782530392727272,19.476617138595522,-7.52614,-10.23725,0.145761
3,sideband_mean,Digitizer_run2014_subrun604.csv,604,WARN,WARN_target_previous_1,-1,998,60,60,0.06012024048096192,60,0,0,-70.2175,41.9375,-5.7646804,12.196312097908885,-7.39095,-9.206452500000001,-0.928354
3,sideband_mean,Digitizer_run2014_subrun609.csv,609,WARN,WARN_target_next_1,1,998,67,67,0.06713426853707415,67,0,0,-536.675,51.7958,-14.382013443283583,72.860316981925,-5.61499,-9.53358,-0.04729985
3,sideband_mean,Digitizer_run2014_subrun611.csv,611,WARN,WARN_target_next_2,2,1000,63,63,0.063,63,0,0,-63.8653,43.9145,-5.210306193650794,13.816037341612242,-7.50253,-10.2215,-0.6193485
3,sideband_mean,Digitizer_run2014_subrun94.csv,94,OK,OK_target,0,993,69,69,0.06948640483383686,69,0,0,-126.811,34.0652,-4.3902452463768125,21.229727638876,-0.22895,-2.06939,1.24002
3,sideband_mean,Digitizer_run2014_subrun88.csv,88,OK,OK_target_previous_2,-2,991,85,85,0.08577194752774975,85,0,0,-534.746,40.1387,-10.413872209411766,60.35044708089717,-0.374338,-2.07891,0.702067
3,sideband_mean,Digitizer_run2014_subrun90.csv,90,OK,OK_target_previous_1,-1,994,68,68,0.06841046277665996,68,0,0,-669.596,16.9798,-24.967798819117647,94.19073893452601,-0.3217585,-6.291655,0.42586050000000003
3,sideband_mean,Digitizer_run2014_subrun95.csv,95,OK,OK_target_next_1,1,996,68,68,0.06827309236947791,68,0,0,-400.334,23.7083,-10.709429411764706,53.90269698773609,-0.1280345,-5.6409125,1.1138075
3,sideband_mean,Digitizer_run2014_subrun96.csv,96,OK,OK_target_next_2,2,988,81,81,0.08198380566801619,81,0,0,-119.76,22.3821,-3.2663520298765425,14.55619261941285,-0.648769,-1.96417,0.479544
82,pulseDuriation_max,Digitizer_run2014_subrun605.csv,605,WARN,WARN_target,0,994,226,226,0.22736418511066397,226,0,0,54.99,2507.49,1083.0541592920354,914.2034707138723,694.99,303.115,2069.99
82,pulseDuriation_max,Digitizer_run2014_subrun603.csv,603,WARN,WARN_target_previous_2,-2,998,245,245,0.24549098196392785,245,0,0,29.99,2507.49,965.0104081632653,845.4679078405976,567.49,304.99,1624.99
82,pulseDuriation_max,Digitizer_run2014_subrun604.csv,604,WARN,WARN_target_previous_1,-1,998,224,224,0.22444889779559118,224,0,0,42.49,2507.49,1025.760089285714,927.4883169452578,624.99,271.865,1895.615
