channel,feature,subrun605_value,subrun94_value,reference_mean,reference_std_pre_floor,reference_std_used,subrun605_z,subrun94_z,value_delta_605_minus_94,z_movement_605_minus_94,abs_z_movement,max_abs_z_across_pair,subrun605_over_z8,subrun94_over_z8,subrun605_method,subrun94_method,subrun605_if_score,subrun94_if_score,difference_rank_within_channel
3,occupancy,0.07243460764587525,0.06948640483383686,0.07432094944019971,0.00915025210127714,0.00915025210127714,-0.20615189324250074,-0.5283509735964615,0.002948202812038392,0.32219908035396083,0.32219908035396083,0.5283509735964615,False,False,,,-0.6071,-0.4315,24
3,sideband_mean_mean,-5.315555423611111,-4.390245246376812,-9.452439753165224,7.692307789591945,7.692307789591945,0.5377949560405673,0.6580852775597201,-0.9253101772342998,-0.12029032151915287,0.12029032151915287,0.6580852775597201,False,False,,,-0.6071,-0.4315,25
3,sideband_rms_mean,5.1224944444444445,5.3110187101449275,2.9338617114916987,1.6112795809525247,1.6112795809525247,1.3583196602410321,1.4753224870186388,-0.18852426570048308,-0.11700282677760665,0.11700282677760665,1.4753224870186388,False,False,,,-0.6071,-0.4315,26
3,sideband_mean_std,17.90223071014005,21.229727638876,52.850451757875256,37.42371584328082,37.42371584328082,-0.9338522447660667,-0.8449381202929519,-3.3274969287359504,-0.08891412447311475,0.08891412447311475,0.9338522447660667,False,False,,,-0.6071,-0.4315,27
3,nPulses_median,1.0,1.0,1.0831252753708318,0.27069941832777283,0.27069941832777283,-0.3070759290298166,-0.3070759290298166,0.0,0.0,0.0,0.3070759290298166,False,False,,,-0.6071,-0.4315,28
3,frac_dead,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,False,False,,,-0.6071,-0.4315,29
82,pulseDuriation_max_median,694.99,302.49,351.69766632398216,61.38741368863752,61.38741368863752,5.592226696782298,-0.801592107684612,392.5,6.3938188044669095,6.3938188044669095,5.592226696782298,False,False,isolation_forest,,-0.6469,-0.4025,1
82,pulseDuriation_min_mean,712.3793805309734,286.59583941605837,332.3849536799846,76.86105496647134,76.86105496647134,4.943913754719495,-0.59573882096597,425.78354111491507,5.539652575685465,5.539652575685465,4.943913754719495,False,False,isolation_forest,,-0.6469,-0.4025,2
82,pulseDuriation_max_mean,1083.0541592920354,528.055693430657,610.5813678276857,102.60528013519738,102.60528013519738,4.604760991264759,-0.8043024129780559,554.9984658613783,5.409063404242815,5.409063404242815,4.604760991264759,False,False,isolation_forest,,-0.6469,-0.4025,3
82,sideband_rms_median,5.929245,1.77368,2.024152933617274,0.8773028649830326,0.8773028649830326,4.451247365364813,-0.2855033804342112,4.155565,4.736750745799024,4.736750745799024,4.451247365364813,False,False,isolation_forest,,-0.6469,-0.4025,4
82,occupancy,0.22736418511066397,0.1379657603222558,0.1348487729045214,0.02044360754744125,0.02044360754744125,4.525395627530617,0.1524675823726873,0.08939842478840818,4.37292804515793,4.37292804515793,4.525395627530617,False,False,isolation_forest,,-0.6469,-0.4025,5
82,pulseDuriation_min_std,969.0066155823091,501.1089482875812,551.4110035389964,116.05866283415844,116.05866283415844,3.59814254141489,-0.43341922113383397,467.8976672947279,4.031561762548724,4.031561762548724,3.59814254141489,False,False,isolation_forest,,-0.6469,-0.4025,6
82,pulseDuriation_max_std,914.203470713872,638.5626230792225,653.6608775074593,78.74313580503494,78.74313580503494,3.3087657805691966,-0.19174057870414943,275.6408476346495,3.500506359273346,3.500506359273346,3.3087657805691966,False,False,isolation_forest,,-0.6469,-0.4025,7
82,pulseHeight_max_std,305.8611352937556,445.38963025772784,429.27360514841155,41.45390521367748,41.45390521367748,-2.9771011734242285,0.3887697679204155,-139.52849496397226,-3.365870941344644,3.365870941344644,2.9771011734242285,False,False,isolation_forest,,-0.6469,-0.4025,8
82,sideband_rms_mean,6.75979668141593,2.188260875912409,3.2912734756744384,1.4897980763310017,1.4897980763310017,2.3281834369685805,-0.740377247954617,4.571535805503521,3.0685606849231974,3.0685606849231974,2.3281834369685805,False,False,isolation_forest,,-0.6469,-0.4025,9
