case,filename,subrun,status,target_channel,feature,observed_value,reference_mean,reference_std_pre_floor,reference_std_used,std_floor_applied,z_score,abs_z,triggered_by_z_threshold,canonical_max_z_exact,canonical_max_z_rounded,canonical_method,canonical_if_score
B,Digitizer_run2014_subrun902.csv,902,ALERT,38,pulseHeight_min_std,266.9391892929469,345.3687545728981,42.93739080382059,42.93739080382059,False,-1.826602963330798,1.826602963330798,False,67.36303007820105,67.36,statistical,-0.5898
B,Digitizer_run2014_subrun902.csv,902,ALERT,38,pulseArea_min_mean,7073.729166666667,15440.637930489846,4692.024107864384,4692.024107864384,False,-1.7832194744692929,1.7832194744692929,False,67.36303007820105,67.36,statistical,-0.5898
B,Digitizer_run2014_subrun902.csv,902,ALERT,38,pulseDuriation_max_mean,270.1983333333333,305.5022288563582,24.506568491926956,24.506568491926956,False,-1.4405891030665852,1.4405891030665852,False,67.36303007820105,67.36,statistical,-0.5898
B,Digitizer_run2014_subrun902.csv,902,ALERT,38,pulseArea_max_mean,23631.229166666668,31379.856914950393,6193.073816503963,6193.073816503963,False,-1.251176391218583,1.251176391218583,False,67.36303007820105,67.36,statistical,-0.5898
B,Digitizer_run2014_subrun902.csv,902,ALERT,38,sideband_mean_median,0.655934,0.9803065358012618,0.2602824614461457,0.2602824614461457,False,-1.2462327811064473,1.2462327811064473,False,67.36303007820105,67.36,statistical,-0.5898
B,Digitizer_run2014_subrun902.csv,902,ALERT,38,pulseArea_max_std,33143.87661954916,52249.242780688066,16359.8210465583,16359.8210465583,False,-1.1678224417471974,1.1678224417471974,False,67.36303007820105,67.36,statistical,-0.5898
B,Digitizer_run2014_subrun902.csv,902,ALERT,38,pulseDuriation_max_median,264.99,282.69472238542846,15.87620039816652,15.87620039816652,False,-1.1151737784484697,1.1151737784484697,False,67.36303007820105,67.36,statistical,-0.5898
B,Digitizer_run2014_subrun902.csv,902,ALERT,38,pulseArea_min_std,17224.339287874358,38442.19176612057,19190.521896092167,19190.521896092167,False,-1.1056422849326928,1.1056422849326928,False,67.36303007820105,67.36,statistical,-0.5898
B,Digitizer_run2014_subrun902.csv,902,ALERT,38,sideband_rms_median,0.9312845000000001,0.9573146912455923,0.023571786641518405,0.023571786641518405,False,-1.1042943685797542,1.1042943685797542,False,67.36303007820105,67.36,statistical,-0.5898
B,Digitizer_run2014_subrun902.csv,902,ALERT,38,pulseDuriation_min_std,98.5309734350769,171.04926676487122,75.43827240586944,75.43827240586944,False,-0.9612931343341853,0.9612931343341853,False,67.36303007820105,67.36,statistical,-0.5898
B,Digitizer_run2014_subrun902.csv,902,ALERT,38,pulseArea_max_median,7903.0,10274.415760869595,2525.2918808517393,2525.2918808517393,False,-0.939066006132232,0.939066006132232,False,67.36303007820105,67.36,statistical,-0.5898
B,Digitizer_run2014_subrun902.csv,902,ALERT,38,occupancy,0.07894736842105263,0.08748356631100628,0.009654908391703907,0.009654908391703907,False,-0.8841303867044948,0.8841303867044948,False,67.36303007820105,67.36,statistical,-0.5898
B,Digitizer_run2014_subrun902.csv,902,ALERT,38,pulseDuriation_max_std,121.91167160595766,181.58331231381246,70.82445069309169,70.82445069309169,False,-0.8425288177162699,0.8425288177162699,False,67.36303007820105,67.36,statistical,-0.5898
B,Digitizer_run2014_subrun902.csv,902,ALERT,38,pulseHeight_max_mean,-409.90160833333334,-450.58325932264984,50.643042627671385,50.643042627671385,False,0.8033018728437935,0.8033018728437935,False,67.36303007820105,67.36,statistical,-0.5898
B,Digitizer_run2014_subrun902.csv,902,ALERT,38,pulseHeight_max_std,449.17090742025067,460.9820796936603,27.99739734562077,27.99739734562077,False,-0.42186679453106657,0.42186679453106657,False,67.36303007820105,67.36,statistical,-0.5898
B,Digitizer_run2014_subrun902.csv,902,ALERT,38,pulseHeight_max_median,-211.7835,-232.02429962544036,54.215833566113254,54.215833566113254,False,0.3733374236653174,0.3733374236653174,False,67.36303007820105,67.36,statistical,-0.5898
B,Digitizer_run2014_subrun902.csv,902,ALERT,38,sideband_rms_std,7.8715900354601755,10.292507788110225,11.745749670186902,11.745749670186902,False,-0.20611010966757023,0.20611010966757023,False,67.36303007820105,67.36,statistical,-0.5898
