case,filename,subrun,target_channel,channel,nPulses_mean,nPulses_median,nPulses_std,occupancy,frac_dead,z_nPulses_median,abs_z_nPulses_median,above_z8,above_z15,is_target_channel
A,Digitizer_run2014_subrun168.csv,168,4,38,1.4594594594594594,1.0,0.7796941653524382,0.07414829659318638,0.0,-0.019795189561630986,0.019795189561630986,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,81,1.382716049382716,1.0,0.7511308347180253,0.0811623246492986,0.0,-0.01979518956158613,0.01979518956158613,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,31,1.5,1.0,1.4116492564331997,0.07014028056112225,0.0,-0.017141038190322318,0.017141038190322318,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,39,1.3823529411764706,1.0,0.6471386334370269,0.06813627254509018,0.0,-0.014698827083102287,0.014698827083102287,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,49,1.4186046511627908,1.0,0.7240069381653935,0.3016032064128257,0.0,-0.013529567353580803,0.013529567353580803,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,59,1.2075471698113207,1.0,0.529455805648376,0.1062124248496994,0.0,-0.012120544341008408,0.012120544341008408,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,67,1.3508771929824561,1.0,0.6941394484790769,0.05711422845691383,0.0,-0.012120544341008408,0.012120544341008408,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,35,1.5833333333333333,1.0,0.7645306025618078,0.07214428857715431,0.0,-0.012120544340990086,0.012120544340990086,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,41,1.2884615384615385,1.0,0.8004052518063306,0.052104208416833664,0.0,-0.012120544340944277,0.012120544340944277,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,54,1.3191489361702127,1.0,0.9205522328330208,0.14128256513026052,0.0,-0.012119654139126778,0.012119654139126778,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,52,1.2735042735042734,1.0,0.6105951255203123,0.11723446893787576,0.0,-0.012119654139071812,0.012119654139071812,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,60,1.3362068965517242,1.0,0.8438417893878221,0.11623246492985972,0.0,-0.012119654139071812,0.012119654139071812,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,61,1.3716814159292035,1.0,0.722034455369572,0.11322645290581163,0.0,-0.012119654139071812,0.012119654139071812,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,63,1.59,1.0,1.2316942425255981,0.10020040080160321,0.0,-0.012119654139071812,0.012119654139071812,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,37,1.3709677419354838,1.0,0.9058773040582637,0.12424849699398798,0.0,-0.012119654138613722,0.012119654138613722,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,53,1.1583333333333334,1.0,0.4098746136070783,0.12024048096192384,0.0,-0.012119654138613722,0.012119654138613722,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,23,1.3103448275862069,1.0,0.5413902920037098,0.02905811623246493,0.0,0.0,0.0,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,25,1.3485915492957747,1.0,0.7436169760950955,0.2845691382765531,0.0,0.0,0.0,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,42,1.3506493506493507,1.0,0.7027433791976639,0.07715430861723446,0.0,0.0,0.0,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,47,1.4096385542168675,1.0,0.7814330890369223,0.08316633266533066,0.0,0.0,0.0,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,50,1.2912621359223302,1.0,0.6661429505827404,0.10320641282565131,0.0,0.0,0.0,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,51,1.3132530120481927,1.0,0.5828381117193043,0.08316633266533066,0.0,0.0,0.0,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,57,1.2553191489361701,1.0,0.7783155375474924,0.14128256513026052,0.0,0.0,0.0,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,58,1.3333333333333333,1.0,0.661179604907286,0.12324649298597194,0.0,0.0,0.0,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,62,1.1951219512195121,1.0,0.4902079950884324,0.12324649298597194,0.0,0.0,0.0,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,69,1.3962264150943395,1.0,0.7162837491447258,0.0531062124248497,0.0,0.0,0.0,False,False,False
B,Digitizer_run2014_subrun902.csv,902,38,38,1.7916666666666667,2.0,0.9884079899565406,0.07894736842105263,0.0,67.36303007820105,67.36303007820105,True,True,True
B,Digitizer_run2014_subrun902.csv,902,38,43,1.9545454545454546,2.0,1.0455015987905485,0.03618421052631579,0.0,22.86130165997704,22.86130165997704,True,True,False
B,Digitizer_run2014_subrun902.csv,902,38,95,1.894736842105263,2.0,0.936585811581694,0.03125,0.0,6.992142240115254,6.992142240115254,False,False,False
B,Digitizer_run2014_subrun902.csv,902,38,77,1.7619047619047619,2.0,0.9436504599035549,0.03453947368421053,0.0,4.7827174018212855,4.7827174018212855,False,False,False
B,Digitizer_run2014_subrun902.csv,902,38,9,1.7857142857142858,1.5,1.05090228108783,0.023026315789473683,0.0,4.60024741184977,4.60024741184977,False,False,False
B,Digitizer_run2014_subrun902.csv,902,38,3,2.5714285714285716,2.0,2.081665999466133,0.0805921052631579,0.0,3.3870583479384595,3.3870583479384595,False,False,False
B,Digitizer_run2014_subrun902.csv,902,38,24,2.04,2.0,1.1363595959524129,0.16447368421052633,0.0,2.7848023517976355,2.7848023517976355,False,False,False
B,Digitizer_run2014_subrun902.csv,902,38,72,3.8540925266903914,4.0,2.2352834540567037,0.4621710526315789,0.0,2.4447706246494056,2.4447706246494056,False,False,False
B,Digitizer_run2014_subrun902.csv,902,38,56,2.7777777777777777,2.0,2.184624835019032,0.17763157894736842,0.0,1.696902814131532,1.696902814131532,False,False,False
