run,n_sampled_subruns,n_raw_bad,raw_bad_fraction,n_OK,n_WARN,n_PEND,n_ALERT,strict_alert_fraction,all_raw_bad,all_strict_ALERT
1686,160,1,0.00625,157,0,0,3,0.01875,False,False
1687,158,0,0.0,157,0,0,1,0.006329113924050633,False,False
1688,181,2,0.011049723756906077,179,0,0,2,0.011049723756906077,False,False
1689,163,3,0.018404907975460124,159,0,0,4,0.024539877300613498,False,False
1690,170,3,0.01764705882352941,162,0,0,8,0.047058823529411764,False,False
1691,163,0,0.0,162,0,0,1,0.006134969325153374,False,False
1706,152,1,0.006578947368421052,150,0,0,2,0.013157894736842105,False,False
1707,163,2,0.012269938650306749,161,0,0,2,0.012269938650306749,False,False
1708,162,4,0.024691358024691357,154,0,0,8,0.04938271604938271,False,False
1709,44,0,0.0,42,0,0,2,0.045454545454545456,False,False
1710,1,1,1.0,0,0,0,1,1.0,True,True
1711,4,4,1.0,0,0,0,4,1.0,True,True
1712,132,3,0.022727272727272728,129,0,0,3,0.022727272727272728,False,False
1713,191,2,0.010471204188481676,186,0,0,5,0.02617801047120419,False,False
1714,254,1,0.003937007874015748,249,0,0,5,0.01968503937007874,False,False
1715,164,1,0.006097560975609756,161,0,0,3,0.018292682926829267,False,False
1991,57,1,0.017543859649122806,54,0,0,3,0.05263157894736842,False,False
1992,95,2,0.021052631578947368,92,0,0,3,0.031578947368421054,False,False
1993,60,2,0.03333333333333333,58,0,0,2,0.03333333333333333,False,False
1994,103,3,0.02912621359223301,100,0,0,3,0.02912621359223301,False,False
1995,126,1,0.007936507936507936,124,0,0,2,0.015873015873015872,False,False
1996,85,1,0.011764705882352941,82,0,0,3,0.03529411764705882,False,False
1997,35,0,0.0,35,0,0,0,0.0,False,False
1998,27,1,0.037037037037037035,26,0,0,1,0.037037037037037035,False,False
1999,151,0,0.0,147,0,0,4,0.026490066225165563,False,False
2000,112,0,0.0,111,0,0,1,0.008928571428571428,False,False
2001,121,3,0.024793388429752067,117,0,0,4,0.03305785123966942,False,False
2004,1,0,0.0,1,0,0,0,0.0,False,False
2005,127,2,0.015748031496062992,123,0,0,4,0.031496062992125984,False,False
2006,116,1,0.008620689655172414,113,0,0,3,0.02586206896551724,False,False
2007,169,4,0.023668639053254437,162,0,0,7,0.04142011834319527,False,False
2008,210,3,0.014285714285714285,202,0,0,8,0.0380952380952381,False,False
2009,154,5,0.032467532467532464,150,0,0,4,0.025974025974025976,False,False
2010,116,1,0.008620689655172414,110,0,0,6,0.05172413793103448,False,False
2011,200,6,0.03,188,0,0,12,0.06,False,False
2012,18,0,0.0,16,0,0,2,0.1111111111111111,False,False
2013,1,1,1.0,0,0,0,1,1.0,True,True
2014,361,241,0.667590027700831,213,77,0,71,0.19667590027700832,False,False
2085,82,2,0.024390243902439025,80,0,0,2,0.024390243902439025,False,False
2086,46,2,0.043478260869565216,46,0,0,0,0.0,False,False
2087,107,9,0.08411214953271028,102,0,0,5,0.04672897196261682,False,False
2088,203,31,0.15270935960591134,180,0,0,23,0.11330049261083744,False,False
2089,369,117,0.3170731707317073,318,0,0,51,0.13821138211382114,False,False
